CA,1.19,1.25,1.25,1.25
CO,0.95,1,1,1
CT,1.22,1.28,1.28,1.28
FL,1.02,1.07,1.1,1.1
GA,1.11,1.16,1.15,1.15
IN,1.11,1.16,1.16,1.16
IA,1.05,1.1,1.1,1.1
IL,1.12,1.18,1.2,1.2
KS,1.08,1.13,1.13,1.13
KY,0.97,1.02,1.02,1.02
MA,1.14,1.2,1.2,1.2
MI,0.95,1,1,1.05
MN,1.14,1.2,1.2,1.2
MO,1.12,1.18,1.18,1.18
MT,1.17,1.23,1.23,1.23
NE,1,1.05,1.05,1.05
NJ,1.22,1.28,1.28,1.28
NM,0.97,1.02,1.05,1.05
ND,1.11,1.16,1.16,1.16
OH,1.05,1.1,1.1,1.1
OR,1.05,1.1,1.1,1.1
PA,1.19,1.25,1.25,1.25
SC,1,1.05,1.05,1.05
TX,0.95,1,1,1
VA,1.11,1.16,1.16,1.16
WA,1.19,1.25,1.25,1.25
WV,1.05,1.1,1.1,1.1
WI,1.12,1.18,1.18,1.18
WY,1.16,1.22,1.22,1.22
AL,NULL,NULL,1.05,1.05
AK,NULL,NULL,1.29,1.29
AZ,NULL,NULL,1,1.05
AR,NULL,NULL,1,1
DE,NULL,NULL,1.25,1.25
DC,NULL,NULL,1.25,1.25
HI,NULL,NULL,1.29,1.29
ID,NULL,NULL,1.2,1.2
LA,NULL,NULL,1.05,1.05
ME,NULL,NULL,1.28,1.28
MD,NULL,NULL,1.12,1.12
MS,NULL,NULL,1.05,1.05
NV,NULL,NULL,1.1,1.1
NH,NULL,NULL,1.2,1.2
NY,NULL,NULL,1.25,1.25
NC,NULL,NULL,1.05,1.05
OK,NULL,NULL,1.05,1.05
RI,NULL,NULL,1.2,1.2
SD,NULL,NULL,1.2,1.2
TN,NULL,NULL,1.06,1.06
UT,NULL,NULL,1.19,1.19
VT,NULL,NULL,1.2,1.2
VI,NULL,NULL,1.28,1.3
PR,NULL,NULL,1.28,1.3
